month,cpi_index_2025_100
2020-01,80.8
2020-02,80.8
2020-03,80.8
2020-04,81.1
2020-05,81.2
2020-06,81.4
2020-07,82.0
2020-08,81.7
2020-09,82.0
2020-10,82.2
2020-11,81.6
2020-12,82.0
2021-01,82.8
2021-02,83.4
2021-03,83.2
2021-04,83.5
2021-05,83.4
2021-06,83.7
2021-07,84.5
2021-08,84.4
2021-09,85.4
2021-10,85.1
2021-11,85.8
2021-12,86.3
2022-01,85.5
2022-02,86.5
2022-03,87.0
2022-04,88.0
2022-05,88.3
2022-06,89.0
2022-07,90.2
2022-08,89.9
2022-09,91.2
2022-10,91.5
2022-11,91.4
2022-12,91.4
2023-01,91.5
2023-02,91.9
2023-03,92.7
2023-04,93.6
2023-05,94.1
2023-06,94.7
2023-07,95.0
2023-08,94.3
2023-09,94.3
2023-10,95.2
2023-11,95.7
2023-12,95.7
2024-01,95.9
2024-02,96.1
2024-03,96.3
2024-04,97.0
2024-05,96.9
2024-06,97.2
2024-07,97.7
2024-08,96.8
2024-09,97.1
2024-10,97.7
2024-11,98.0
2024-12,97.9
2025-01,98.1
2025-02,99.5
2025-03,98.8
2025-04,99.4
2025-05,99.9
2025-06,100.1
2025-07,100.8
2025-08,100.2
2025-09,100.6
2025-10,100.7
2025-11,100.9
2025-12,101.0
2026-01,101.6
2026-02,102.2
2026-03,102.4
2026-04,102.8
2026-05,103.0
2026-06,102.8
2026-07,103.8
