year,total_fertility_rate
1968,2.75
1969,2.7
1970,2.5
1971,2.49
1972,2.38
1973,2.23
1974,2.13
1975,1.98
1976,1.86
1977,1.75
1978,1.77
1979,1.75
1980,1.72
1981,1.701
1982,1.708
1983,1.655
1984,1.658
1985,1.677
1986,1.71
1987,1.745
1988,1.841
1989,1.887
1990,1.932
1991,1.918
1992,1.885
1993,1.86
1994,1.865
1995,1.869
1996,1.889
1997,1.857
1998,1.814
1999,1.845
2000,1.851
2001,1.784
2002,1.754
2003,1.797
2004,1.828
2005,1.836
2006,1.904
2007,1.901
2008,1.957
2009,1.979
2010,1.946
2011,1.88
2012,1.851
2013,1.782
2014,1.756
2015,1.73
2016,1.71
2017,1.62
2018,1.56
2019,1.53
2020,1.48
2021,1.55
2022,1.41
2023,1.4
2024,1.44
2025,1.48
