year,mean_age_mother_first_birth
1961,24.6
1962,24.3
1963,24.0
1964,23.8
1965,23.6
1966,23.4
1967,23.3
1968,23.3
1969,23.3
1970,23.2
1971,23.3
1972,23.3
1973,23.4
1974,23.5
1975,23.5
1976,23.6
1977,23.8
1978,24.1
1979,24.1
1980,24.3
1981,24.4
1982,24.5
1983,24.7
1984,24.9
1985,25.0
1986,25.1
1987,25.1
1988,25.2
1989,25.3
1990,25.5
1991,25.7
1992,25.9
1993,26.0
1994,26.3
1995,26.5
1996,26.7
1997,27.0
1998,27.2
1999,27.2
2000,27.3
2001,27.5
2002,27.7
2003,27.9
2004,28.0
2005,28.1
2006,28.1
2007,28.1
2008,28.1
2009,28.1
2010,28.1
2011,28.3
2012,28.5
2013,28.6
2014,28.7
2015,28.9
2016,29.0
2017,29.3
2018,29.5
2019,29.8
2020,29.9
2021,30.1
2022,30.2
2023,30.3
2024,30.4
2025,30.4
