year,region,age,women,men,unit
2021,The whole country,20,32088,34476,persons
2021,The whole country,21,32081,34855,persons
2021,The whole country,22,32099,34261,persons
2021,The whole country,23,32860,35275,persons
2021,The whole country,24,34112,36314,persons
2021,The whole country,25,34230,36548,persons
2021,The whole country,26,34904,36773,persons
2021,The whole country,27,35591,37281,persons
2021,The whole country,28,36388,38541,persons
2021,The whole country,29,37473,39157,persons
2021,The whole country,30,38433,39661,persons
2021,The whole country,31,38027,39393,persons
2021,The whole country,32,37748,39267,persons
2021,The whole country,33,36526,37747,persons
2021,The whole country,34,35983,38050,persons
2021,The whole country,35,35352,37419,persons
2021,The whole country,36,35045,36777,persons
2021,The whole country,37,34475,37044,persons
2021,The whole country,38,34814,37051,persons
2021,The whole country,39,34382,35930,persons
2021,The whole country,40,34477,36703,persons
2021,The whole country,41,34004,36074,persons
2021,The whole country,42,33703,35837,persons
2021,The whole country,43,33037,34704,persons
2021,The whole country,44,33598,35652,persons
2021,The whole country,45,34790,36349,persons
2021,The whole country,46,36213,37760,persons
2021,The whole country,47,35922,38138,persons
2021,The whole country,48,37159,39201,persons
2021,The whole country,49,37308,38962,persons
2021,The whole country,50,36795,38565,persons
2021,The whole country,51,37514,39239,persons
2021,The whole country,52,37039,38808,persons
2021,The whole country,53,36091,37627,persons
2021,The whole country,54,35413,37746,persons
