quarter,sex,age,unemployed_1000,unemployment_rate_percent
2025Q1,Both sexes,15-74 total,124,4.1
2025Q2,Both sexes,15-74 total,153,5.0
2025Q3,Both sexes,15-74 total,141,4.6
2025Q4,Both sexes,15-74 total,127,4.2
2026Q1,Both sexes,15-74 total,146,4.8
2026Q2,Both sexes,15-74 total,147,4.8
2025Q1,Both sexes,15-24,56,12.8
2025Q2,Both sexes,15-24,72,15.4
2025Q3,Both sexes,15-24,66,14.5
2025Q4,Both sexes,15-24,58,13.3
2026Q1,Both sexes,15-24,65,14.7
2026Q2,Both sexes,15-24,66,14.3
2025Q1,Both sexes,25-54,58,3.0
2025Q2,Both sexes,25-54,63,3.2
2025Q3,Both sexes,25-54,67,3.4
2025Q4,Both sexes,25-54,61,3.2
2026Q1,Both sexes,25-54,67,3.5
2026Q2,Both sexes,25-54,67,3.5
2025Q1,Both sexes,55-74,9,1.5
2025Q2,Both sexes,55-74,18,2.8
2025Q3,Both sexes,55-74,8,1.3
2025Q4,Both sexes,55-74,8,1.2
2026Q1,Both sexes,55-74,14,2.1
2026Q2,Both sexes,55-74,14,2.0
